,MAP_MMC_in,MAP_MMC_CIFAR100,MAP_MMC_SVHN,MAP_AUROC_CIFAR100,MAP_AUROC_SVHN,Diag_samples_MMC_in,Diag_samples_MMC_CIFAR100,Diag_samples_MMC_SVHN,Diag_samples_AUROC_CIFAR100,Diag_samples_AUROC_SVHN,KFAC_samples_MMC_in,KFAC_samples_MMC_CIFAR100,KFAC_samples_MMC_SVHN,KFAC_samples_AUROC_CIFAR100,KFAC_samples_AUROC_SVHN,Diag_LB_MMC_in,Diag_LB_MMC_CIFAR100,Diag_LB_MMC_SVHN,Diag_LB_AUROC_CIFAR100,Diag_LB_AUROC_SVHN,KFAC_LB_MMC_in,KFAC_LB_MMC_CIFAR100,KFAC_LB_MMC_SVHN,KFAC_LB_AUROC_CIFAR100,KFAC_LB_AUROC_SVHN,Diag_LB_norm_MMC_in,Diag_LB_norm_MMC_CIFAR100,Diag_LB_norm_MMC_SVHN,Diag_LB_norm_AUROC_CIFAR100,Diag_LB_norm_AUROC_SVHN,KFAC_LB_norm_MMC_in,KFAC_LB_norm_MMC_CIFAR100,KFAC_LB_norm_MMC_SVHN,KFAC_LB_norm_AUROC_CIFAR100,KFAC_LB_norm_AUROC_SVHN,Diag_EMK_MMC_in,Diag_EMK_MMC_CIFAR100,Diag_EMK_MMC_SVHN,Diag_EMK_AUROC_CIFAR100,Diag_EMK_AUROC_SVHN,KFAC_EMK_MMC_in,KFAC_EMK_MMC_CIFAR100,KFAC_EMK_MMC_SVHN,KFAC_EMK_AUROC_CIFAR100,KFAC_EMK_AUROC_SVHN,Diag_SODPP_MMC_in,Diag_SODPP_MMC_CIFAR100,Diag_SODPP_MMC_SVHN,Diag_SODPP_AUROC_CIFAR100,Diag_SODPP_AUROC_SVHN,KFAC_SODPP_MMC_in,KFAC_SODPP_MMC_CIFAR100,KFAC_SODPP_MMC_SVHN,KFAC_SODPP_AUROC_CIFAR100,KFAC_SODPP_AUROC_SVHN
0,0.9765624,0.81846523,0.7765342,0.8744409249999999,0.9361902485402581,0.74269426,0.481703,0.41695264,0.8864088800000001,0.9473983635525508,0.944093,0.6837457,0.5593461,0.87803828,0.9546891748617086,0.97347707,0.79606074,0.7656361,0.85915652,0.9284063249078057,0.9687356,0.77540183,0.74922967,0.8548162549999999,0.9239320624615859,0.3051041,0.21839935,0.20179537,0.86260952,0.9338581937615242,0.78149223,0.41380116,0.25198185,0.86436988,0.9639995620774431,0.86665577,0.58586603,0.5068322,0.8816066149999999,0.9466246869237862,0.54806465,0.35815802,0.3072095,0.89621981,0.9557510890442531,0.95001155,0.7458319,0.8244727,0.80008622,0.6958847111247696,0.9526428,0.6812194,0.6782055,0.8770148850000001,0.8655961143976644
1,0.9765624,0.81846523,0.7765342,0.8744409249999999,0.9361902485402581,0.74685127,0.485079,0.4188292,0.88742184,0.9484675764443761,0.9437908,0.6827434,0.5573588,0.877686265,0.9548557794253227,0.97355276,0.79648113,0.7665067,0.8592870300000002,0.9283200464812538,0.9686841,0.7748423,0.7481957,0.855129955,0.9243180815918869,0.3083918,0.22048545,0.20477167,0.8652227749999999,0.9332616395205899,0.7807606,0.41146263,0.24755828,0.8649399699999999,0.9650715964966196,0.8694619,0.58928525,0.51146513,0.882520625,0.9464581265365704,0.54800487,0.35800245,0.3067591,0.89627714,0.9559456034880147,0.9497463,0.7410454,0.81070626,0.80541669,0.708859067685925,0.9526355,0.6811617,0.6866576,0.87706733,0.854359618930547
2,0.9765624,0.81846523,0.7765342,0.8744409249999999,0.9361902485402581,0.74927634,0.48641738,0.41931617,0.88722477,0.9487207494622005,0.9439705,0.683636,0.5591244,0.87748081,0.9543998040872771,0.9735765,0.7965262,0.7667181,0.85944702,0.9284153676244621,0.96872324,0.7752185,0.7486821,0.854835535,0.9240931219268592,0.31034523,0.2205918,0.20379876,0.867798055,0.9369946738629379,0.7816704,0.41342643,0.25163877,0.8644791649999999,0.9639409956976028,0.87082684,0.59027195,0.5121969,0.883179185,0.9472283478027044,0.5480605,0.3581129,0.30704477,0.8962254,0.9558225434081131,0.94973874,0.7395451,0.8060404,0.8076208599999999,0.7133471919176398,0.9526678,0.68122447,0.680569,0.87711814,0.8624085433312846
3,0.9765624,0.81846523,0.7765342,0.8744409249999999,0.9361902485402581,0.7457514,0.48381063,0.41797322,0.8865803649999999,0.9479466176244622,0.94421643,0.6844291,0.5591138,0.87733744,0.9545704114167178,0.9735124,0.79630387,0.7658511,0.8591689350000001,0.9284184234787954,0.9686752,0.7750622,0.74835336,0.854690105,0.9240660225875845,0.30742294,0.21989809,0.20378564,0.861339545,0.9320372848801475,0.78401625,0.4156772,0.25244632,0.864397995,0.9640394399200983,0.86846834,0.58795154,0.5089597,0.8811224049999999,0.9463863418100799,0.54821026,0.3582163,0.307086,0.896261355,0.9558542466963736,0.9497601,0.7434429,0.8197698,0.80269843,0.6998093461893055,0.9527543,0.68179685,0.68205696,0.87704459,0.8605964428395819
4,0.9765624,0.81846523,0.7765342,0.8744409249999999,0.9361902485402581,0.7465363,0.48483285,0.4191423,0.8860268299999999,0.9481054682698218,0.9433967,0.6820174,0.5565315,0.87718171,0.9547866836969884,0.9735562,0.79649454,0.7662976,0.859195075,0.9282752631376768,0.96870124,0.7749789,0.7482524,0.85503298,0.9243077116625692,0.30885503,0.2208753,0.20618092,0.8624728500000001,0.9294003553318992,0.7770044,0.40868384,0.24653134,0.864707365,0.9647836182390902,0.86955196,0.58919734,0.51179963,0.8816881599999998,0.945743383143823,0.5477892,0.35789213,0.3066131,0.89622196,0.95596501037185,0.9497379,0.74175715,0.81261885,0.8044755650000001,0.7067251613398894,0.95253575,0.6810255,0.6871674,0.8768097300000001,0.8533839197910265
